INFO 2025-06-14 11:33:05,505 views 5884 18880 Запрошена страница статуса. Пользователей: 3, Общий размер файлов: 0.0 MB, Статус Email: Настроен и доступен.
WARNING 2025-06-14 11:33:06,433 views 5884 18880 Пользователь testadmin пытался загрузить файл с ошибками формы: <ul class="errorlist"><li>file<ul class="errorlist" id="id_file_error"><li>Обязательное поле.</li></ul></li></ul>
INFO 2025-06-14 11:33:07,408 views 5884 18880 Старый файл 'uploads/test_file_g9GZyz3.txt' был успешно удален после замены.
INFO 2025-06-14 11:33:07,409 views 5884 18880 Уведомление о замене файла 'uploads/test_file_g9GZyz3.txt' на 'uploads/test_file_g9GZyz3.txt' успешно отправлено.
INFO 2025-06-14 11:33:07,409 views 5884 18880 Пользователь testadmin успешно заменил файл 'uploads/test_file_g9GZyz3.txt' на 'uploads/test_file_g9GZyz3.txt'.
WARNING 2025-06-14 11:33:08,400 views 5884 18880 Пользователь testadmin пытался отправить отчет с ошибками формы: <ul class="errorlist"><li>to_email<ul class="errorlist" id="id_to_email_error"><li>Обязательное поле.</li></ul></li><li>subject<ul class="errorlist" id="id_subject_error"><li>Обязательное поле.</li></ul></li><li>message<ul class="errorlist" id="id_message_error"><li>Обязательное поле.</li></ul></li></ul>
ERROR 2025-06-14 11:33:10,217 views 5884 18880 Ошибка отправки уведомления о файле 'uploads/test_file_xEAJTNz.txt' (создан): SMTP error
INFO 2025-06-14 11:33:10,218 views 5884 18880 Пользователь testadmin успешно загрузил файл 'uploads/test_file_xEAJTNz.txt'.
ERROR 2025-06-14 11:33:11,112 views 5884 18880 Ошибка отправки отчета на почту test@example.com пользователем testadmin: SMTP error
INFO 2025-06-14 11:33:52,405 views 21432 19824 Уведомление о файле 'uploads/test_file_GyMp30C.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:52,405 views 21432 19824 Пользователь testadmin успешно загрузил файл 'uploads/test_file_GyMp30C.txt'.
INFO 2025-06-14 11:33:52,868 views 21432 19824 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:53,331 views 21432 19824 Уведомление о файле 'uploads/test_file_hpyqSIL.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:53,331 views 21432 19824 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_hpyqSIL.txt' через API.
INFO 2025-06-14 11:33:53,800 views 21432 19824 Уведомление о файле 'uploads/test_file_3KRuU2C.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:53,801 views 21432 19824 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_3KRuU2C.txt' через API.
INFO 2025-06-14 11:33:53,802 views 21432 19824 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:54,260 views 21432 19824 Уведомление о файле 'uploads/test_file_iDa0wPv.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:54,261 views 21432 19824 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_iDa0wPv.txt' через API.
INFO 2025-06-14 11:33:54,264 views 21432 19824 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:54,267 views 21432 19824 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:54,272 views 21432 19824 API: Уведомление о замене файла 'uploads/test_file_iDa0wPv.txt' на 'uploads/updated_test_file_jbyYfcl.txt' успешно отправлено.
INFO 2025-06-14 11:33:54,733 views 21432 19824 Уведомление о файле 'uploads/test_file_r08wznw.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:54,734 views 21432 19824 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_r08wznw.txt' через API.
INFO 2025-06-14 11:33:54,735 views 21432 19824 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:54,739 views 21432 19824 API: Уведомление об удалении файла 'uploads/test_file_r08wznw.txt' успешно отправлено.
INFO 2025-06-14 11:33:55,189 views 21432 19824 Уведомление о файле 'uploads/dummy_kRiXaMz.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:56,132 views 21432 19824 Отчет на почту test@example.com успешно отправлен пользователем testadmin.
INFO 2025-06-14 11:33:57,037 views 21432 19824 Пользователь testadmin просматривает свой профиль.
INFO 2025-06-14 11:33:58,859 views 21432 19824 Запрошена страница статуса. Пользователей: 3, Общий размер файлов: 0.0 MB, Статус Email: Настроен и доступен.
INFO 2025-06-14 11:33:58,869 views 21432 19824 Запрошена страница статуса. Пользователей: 0, Общий размер файлов: 0.0 MB, Статус Email: Настроен и доступен.
WARNING 2025-06-14 11:33:59,883 views 21432 19824 Пользователь testadmin пытался загрузить файл с ошибками формы: <ul class="errorlist"><li>file<ul class="errorlist" id="id_file_error"><li>Обязательное поле.</li></ul></li></ul>
INFO 2025-06-14 11:34:00,788 views 21432 19824 Старый файл 'uploads/test_file_jEgXhUh.txt' был успешно удален после замены.
INFO 2025-06-14 11:34:00,789 views 21432 19824 Уведомление о замене файла 'uploads/test_file_jEgXhUh.txt' на 'uploads/test_file_jEgXhUh.txt' успешно отправлено.
INFO 2025-06-14 11:34:00,789 views 21432 19824 Пользователь testadmin успешно заменил файл 'uploads/test_file_jEgXhUh.txt' на 'uploads/test_file_jEgXhUh.txt'.
WARNING 2025-06-14 11:34:01,695 views 21432 19824 Пользователь testadmin пытался отправить отчет с ошибками формы: <ul class="errorlist"><li>to_email<ul class="errorlist" id="id_to_email_error"><li>Обязательное поле.</li></ul></li><li>subject<ul class="errorlist" id="id_subject_error"><li>Обязательное поле.</li></ul></li><li>message<ul class="errorlist" id="id_message_error"><li>Обязательное поле.</li></ul></li></ul>
ERROR 2025-06-14 11:34:03,507 views 21432 19824 Ошибка отправки уведомления о файле 'uploads/test_file_Q4IceXf.txt' (создан): SMTP error
INFO 2025-06-14 11:34:03,507 views 21432 19824 Пользователь testadmin успешно загрузил файл 'uploads/test_file_Q4IceXf.txt'.
ERROR 2025-06-14 11:34:04,405 views 21432 19824 Ошибка отправки отчета на почту test@example.com пользователем testadmin: SMTP error
INFO 2025-06-14 11:39:26,645 views 15352 1636 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 11:39:35,113 views 15352 5252 Запрошена страница статуса. Пользователей: 2, Общий размер файлов: 0.3 MB, Статус Email: Настроен и доступен.
INFO 2025-06-14 11:39:38,710 views 15352 5252 API: Пользователь margusha запрашивает список файлов через API.
